Time, DurationAdd, BiFlowsIn, SocketsIn, SocketsOut, FlowsBiMonitored, FlowsBiNotMonitored, BytesBiMonitored, BytesBiNotMonitored, FlowsUniOutMonitored, FlowsUniOutNotMonitored, BytesUniOutMonitored, BytesUniOutNotMonitored, FlowsUniInMonitored, FlowsUniInNotMonitored, BytesUniInMonitored, BytesUniInNotMonitored, FlowsBiNMOutHighInHigh, FlowsBiNMOutHighInLow, FlowsBiNMOutLowInLow, FlowsBiNMOutLowInHigh, BytesBiNMOutHighInHigh, BytesBiNMOutHighInLow, BytesBiNMOutLowInLow, BytesBiNMOutLowInHigh, FlowsUniOutNMOutHighInHigh, FlowsUniOutNMOutHighInLow, FlowsUniOutNMOutLowInLow, FlowsUniOutNMOutLowInHigh, BytesUniOutNMOutHighInHigh, BytesUniOutNMOutHighInLow, BytesUniOutNMOutLowInLow, BytesUniOutNMOutLowInHigh, FlowsUniInNMOutHighInHigh, FlowsUniInNMOutHighInLow, FlowsUniInNMOutLowInLow, FlowsUniInNMOutLowInHigh, BytesUniInNMOutHighInHigh, BytesUniInNMOutHighInLow, BytesUniInNMOutLowInLow, BytesUniInNMOutLowInHigh,
1288578895, 4, 1904696, 424531, 416962, 407711, 324344, 11100213182, 36027086822, 233899, 243022, 5118954029, 9834741127, 243022, 496575, 1700030006, 3694761902, 138070, 107806, 25948, 13838, 27248875070, 27248875070, 11458606, 2055525986, 142929, 34631, 14261, 28037, 6188632561, 595440979, 7685708, 2938200376, 72137, 310301, 15456, 14961, 1635386666, 706959420, 10338559, 495686782,
1288579196, 3, 1901207, 425928, 304752, 369679, 307135, 8667516914, 67649692348, 221512, 227256, 6844224268, 12156759637, 227256, 637007, 1542160034, 1438623922, 140453, 93922, 23176, 13534, 59249227030, 59249227030, 14416534, 2461276806, 142649, 33322, 13390, 20298, 8436772269, 521676078, 9358426, 3092826875, 201833, 321708, 14590, 14697, 361968316, 597440639, 10397459, 78195475,
1288579497, 3, 1735713, 452104, 241328, 370844, 314436, 10247592284, 49978178790, 212733, 213731, 4835842751, 7418110187, 213731, 514896, 2705032130, 3753660390, 141408, 99457, 23551, 13369, 41980304492, 41980304492, 11013335, 2492450572, 137925, 34502, 13143, 10301, 4396562320, 475222004, 6830930, 2491601165, 77713, 319872, 14194, 13646, 1415118593, 1530820319, 14666004, 194695372,
1288579798, 3, 1746343, 442984, 246633, 356689, 339225, 9394032851, 38489713555, 220304, 223275, 6319495816, 11359968680, 223275, 495022, 1123399509, 2374262861, 146132, 119769, 24205, 13759, 30071452545, 30071452545, 11876609, 1673124905, 147947, 35334, 13458, 9813, 6724782694, 604847631, 8891838, 3866844639, 78951, 303233, 15311, 14403, 696890238, 703281548, 10347538, 435563579,
1288580099, 2, 1741584, 455696, 256280, 375928, 327052, 10835253947, 31241395667, 223834, 219866, 5441850231, 8429656457, 219866, 483471, 2524871890, 1475049991, 142332, 111506, 23260, 13644, 22298270546, 22298270546, 11177682, 3274144464, 145854, 33440, 13804, 9621, 5962881864, 415466976, 8475102, 1988002562, 72450, 299327, 14837, 14254, 404339696, 448277578, 14542704, 117537318,
1288580400, 3, 1901937, 448810, 336931, 390289, 307017, 8499020015, 23232094012, 221284, 211952, 5961403682, 10020363803, 211952, 598017, 1601761712, 4366649618, 140788, 92440, 23854, 14788, 16101512739, 16101512739, 10922292, 2991534575, 134970, 34155, 13527, 12547, 5073947126, 420875914, 7898617, 4387436149, 204857, 295797, 13960, 14944, 2089580125, 1451343119, 14198960, 166382746,
1288580701, 3, 1906855, 474472, 359256, 433279, 328978, 9604393404, 39632029236, 257747, 228777, 6690341188, 11639206579, 228777, 516335, 1747699673, 2059897203, 142438, 93520, 24582, 31548, 28923603879, 28923603879, 10802340, 1777087425, 143965, 36230, 13393, 16860, 8193042387, 739648447, 8848173, 2651552158, 69035, 294336, 15242, 67075, 367859756, 616180434, 8631382, 419847023,
1288581002, 2, 1788408, 448169, 323374, 406277, 324228, 9107768249, 45262499919, 248401, 214869, 5743049325, 9522611288, 214869, 478518, 1048984422, 1717544442, 143348, 107325, 23368, 15797, 36141190564, 36141190564, 11710068, 4102944572, 137116, 32870, 13735, 14393, 5009616166, 424341597, 8815337, 3955414370, 72400, 309184, 14899, 20417, 618188623, 665523654, 16745526, 32322820,
1288581303, 4, 1769491, 444871, 322859, 394271, 318058, 8318799645, 48272466050, 232049, 212134, 5730546943, 10730281316, 212134, 472422, 916864199, 4664057148, 138595, 104104, 23382, 16070, 41121843555, 41121843555, 10075498, 2577537054, 134594, 32080, 13834, 14440, 7937382889, 635246606, 6992481, 2124354865, 67180, 313273, 15300, 14205, 2368322745, 1440857130, 19991246, 159333294,
1288581604, 3, 1765224, 439840, 315756, 396461, 310680, 8958688139, 29562202896, 231780, 218006, 6058074297, 8933937981, 218006, 481757, 1019787327, 2232635729, 134261, 103983, 23804, 14316, 15760798158, 15760798158, 10622445, 1977759859, 133814, 35242, 13385, 18213, 4993485527, 467632171, 8606793, 3331626318, 68129, 322285, 14708, 14274, 391659083, 751600619, 9575233, 429638700,
1288581905, 3, 1702037, 443612, 302808, 386608, 300052, 6640382052, 35330527780, 233208, 208531, 6715507316, 10172126855, 208531, 447774, 778482146, 1927727704, 135360, 91159, 23971, 14331, 28043088986, 28043088986, 13286118, 4015874149, 130065, 34428, 13808, 12884, 7290272075, 688671626, 7041965, 2162747048, 69079, 289978, 14665, 13553, 437565101, 1034661783, 16568833, 24299422,
1288582206, 2, 1776481, 474618, 334145, 426025, 308138, 10108785395, 63608614965, 244487, 213037, 4717519287, 8544038367, 213037, 447388, 1177570405, 3532441559, 137114, 99805, 23319, 14368, 52429006053, 52429006053, 11278104, 1627943048, 135992, 33534, 13705, 13426, 5333752762, 471508302, 8539778, 2557021880, 68207, 292277, 13867, 13571, 1646521440, 1076605849, 15347125, 117003420,
1288582507, 2, 1836130, 436619, 398166, 435561, 309628, 9204889556, 54411774754, 263414, 241227, 6910917089, 11596223646, 241227, 451351, 1327497800, 3678489841, 135899, 98428, 24322, 14929, 45532194498, 45532194498, 12281563, 2240894634, 137438, 35357, 13776, 31862, 8089940180, 758111302, 6667858, 2682261335, 69596, 285202, 15140, 14224, 1652087113, 761765655, 10922747, 441998494,
1288582808, 2, 1827699, 461447, 330443, 408073, 312127, 8334317572, 49624133328, 246853, 217075, 4782011774, 7763255111, 217075, 507399, 1099663755, 1774043549, 135356, 104153, 23835, 14882, 39819075926, 39819075926, 13397162, 3065835027, 131718, 33112, 13248, 21742, 4923581600, 403795612, 7767317, 2269662127, 67747, 347169, 15030, 14336, 468018721, 813826249, 20656357, 51410727,
1288583109, 2, 1659724, 456556, 257491, 377404, 293428, 8172103855, 29929800315, 222697, 206089, 5104140858, 11348452688, 206089, 446956, 1320535092, 3166677702, 136811, 85599, 23117, 13316, 22580394235, 22580394235, 10867087, 1482360466, 132793, 32833, 13507, 9824, 6980829517, 689397045, 7913369, 3644458104, 67738, 289610, 14131, 13981, 991041183, 1327224077, 15529163, 134743396,
