BiFlowCache STAT 1288596301, 0, 9, 15412826, 10291624, 4463673, 4463673, 5844953, 8721824, 4219048, 8721824, 17961079, 32630392, 3371398, 277920035, 248661041, 
BiFlowCache STAT 1288596601, 0, 10, 16042206, 10706007, 4631255, 4631255, 6057428, 8894850, 4458229, 8894850, 17961079, 32978231, 2834877, 282551291, 252407937, 
BiFlowCache STAT 1288596901, 0, 10, 16491627, 11034788, 4784450, 4784450, 6267390, 9227150, 4452150, 9227150, 17961079, 34163521, 3572172, 287335742, 256744393, 
BiFlowCache STAT 1288597201, 0, 11, 17541155, 11759652, 4972096, 4972096, 6773291, 9535737, 4663509, 9535737, 17961079, 34290746, 2810174, 292307838, 260827266, 
BiFlowCache STAT 1288597501, 0, 11, 16791621, 11325096, 4869307, 4869307, 6465676, 9627357, 4777687, 9627357, 17961079, 34726924, 2528850, 297177144, 264979070, 
BiFlowCache STAT 1288597801, 0, 11, 17391520, 11747060, 5029315, 5029315, 6706816, 9680825, 4975847, 9680825, 17961079, 35418533, 2410191, 302206459, 269198117, 
BiFlowCache STAT 1288598101, 0, 12, 17717704, 11872569, 5139044, 5139044, 6734121, 9935346, 4884523, 9935346, 17961079, 36210252, 2521097, 307345500, 273656345, 
BiFlowCache STAT 1288598401, 0, 11, 18080848, 12165771, 5253127, 5253127, 6931346, 10187407, 5001066, 10187407, 17961079, 36766075, 2275940, 312598630, 278108494, 
BiFlowCache STAT 1288598701, 0, 11, 18230547, 12323708, 5269966, 5269966, 7046696, 10289422, 5167951, 10289422, 17961079, 37846375, 2749780, 317868597, 282772002, 
BiFlowCache STAT 1288599001, 0, 11, 18350763, 12439625, 5264275, 5264275, 7161145, 10288511, 5265186, 10288511, 17961079, 38388031, 2804847, 323132872, 287549688, 
BiFlowCache STAT 1288599301, 1, 11, 18381099, 12378943, 5333798, 5333798, 7045138, 10345440, 5276869, 10345440, 17961079, 38965091, 3023958, 328466667, 292525534, 
BiFlowCache STAT 1288599601, 0, 12, 19190815, 12967114, 5637040, 5637040, 7342213, 10754732, 5227748, 10754732, 17961079, 39480474, 2786817, 334103713, 297410056, 
BiFlowCache STAT 1288599901, 0, 12, 19460403, 13079186, 5737510, 5737510, 7328693, 11129116, 5363126, 11129116, 17961079, 41092486, 3662392, 339841215, 302411121, 
BiFlowCache STAT 1288600201, 0, 12, 19040653, 12770338, 5464985, 5464985, 7310529, 10951021, 5643080, 10951021, 17961079, 42282758, 4555626, 345306203, 307579071, 
BiFlowCache STAT 1288600502, 0, 12, 18680439, 12533173, 5344213, 5344213, 7191882, 10557956, 5737278, 10557956, 17961079, 42409415, 4603250, 350650421, 312844256, 
BiFlowCache STAT 1288600801, 0, 12, 19100483, 12795141, 5501176, 5501176, 7303254, 10616638, 5442494, 10616638, 17961079, 43224423, 5193955, 356151593, 318121124, 
BiFlowCache STAT 1288601101, 0, 13, 19010659, 12763283, 5436640, 5436640, 7312710, 10703569, 5349709, 10703569, 17961079, 43224435, 4985076, 361588230, 323348871, 
BiFlowCache STAT 1288601401, 0, 12, 19220140, 12930815, 5481935, 5481935, 7452989, 10672135, 5513369, 10672135, 17961079, 43721191, 5363022, 367070165, 328711996, 
BiFlowCache STAT 1288601701, 0, 17, 19316988, 12987208, 5476131, 5476131, 7503400, 0, 16148266, 0, 17961079, 43834196, 5642975, 372546296, 334355075, 
BiFlowCache STAT 1288603799, 17, 0, 29975, 20845, 30025, 30025, 2083, 30025, 0, 30025, 17961079, 43834196, 5612948, 372576323, 334355075, 
BiFlowCache STAT 1288603802, 0, 4, 21109212, 14159266, 6690846, 6690846, 7474358, 6720804, 67, 6720804, 17961079, 44911987, 18446744073709551513, 379267165, 334355075, 
BiFlowCache STAT 1288604101, 0, 8, 21588944, 14483736, 6131339, 6131339, 8345234, 12468881, 383262, 12468881, 17961079, 45859438, 553282, 385398508, 340092352, 
BiFlowCache STAT 1288604401, 0, 15, 21289701, 14320794, 6018223, 6018223, 8308403, 11889444, 6597660, 11889444, 36473443, 46319282, 5787107, 391416728, 350884553, 
BiFlowCache STAT 1288604701, 0, 14, 21709132, 14604100, 6422299, 6422299, 8172589, 12172000, 6139743, 12172000, 36473443, 46319293, 4878186, 397839028, 356397921, 
BiFlowCache STAT 1288605001, 0, 15, 21829074, 14656967, 6277501, 6277501, 8381832, 12395997, 6053504, 12395997, 36473443, 47718500, 18446744073709551509, 404116528, 356397921, 
