# CESNET
195.116.60.49/32, planetlab, planetlab1.swidnik.rd.tp.pl
195.116.60.210/32, planetlab, planetlab2.lublin.rd.tp.pl
195.116.60.209/32, planetlab, planetlab1.lublin.rd.tp.pl
# RNP - PA
200.129.132.18/32, planetlab, planetlab1.pop-pa.rnp.br
200.129.132.19/32, planetlab, planetlab2.pop-pa.rnp.br
# Nile University
196.219.200.163/32, planetlab, planetlab1.nileu.edu.eg
196.219.200.165/32, planetlab, planetlab2.nileu.edu.eg
# Michigan
141.212.113.180/32, planetlab, planetlab5.eecs.umich.edu
141.212.113.178/32, planetlab, planetlab3.eecs.umich.edu
141.212.113.179/32, planetlab, planetlab4.eecs.umich.edu
141.213.4.201/32, planetlab, planetlab1.eecs.umich.edu
141.213.4.202/32, planetlab, planetlab2.eecs.umich.edu
# Paderborn
192.26.179.68/32, planetlab, plane-lab-pb1.uni-paderborn.de
192.26.179.69/32, planetlab, plane-lab-pb2.uni-paderborn.de
# NotreDame
129.74.74.16/32, planetlab, planetlab2.cse.nd.edu
129.74.74.15/32, planetlab, planetlab1.cse.nd.edu
129.74.74.20/32, planetlab, planetlab3.cse.nd.edu
129.74.74.19/32, planetlab, planetlab4.cse.nd.edu
# Illinois
72.36.112.74/32, planetlab, planetlab4.cs.uiuc.edu
72.36.112.73/32, planetlab, planetlab3.cs.uiuc.edu
72.36.112.79/32, planetlab, planetlab6.cs.uiuc.edu
72.36.112.78/32, planetlab, planetlab5.cs.uiuc.edu
72.36.112.72/32, planetlab, planetlab2.cs.uiuc.edu
72.36.112.71/32, planetlab, planetlab1.cs.uiuc.edu
# UPC
147.83.30.166/32, planetlab, planetlab1.upc.es
147.83.30.164/32, planetlab, planetlab3.upc.es
147.83.30.167/32, planetlab, planetlab2.upc.es
# Howard
138.238.250.155/32, planetlab, nodea.howard.edu
138.238.250.157/32, planetlab, nodeb.howard.edu
# INRIA Nancy - Grand Est
152.81.47.5/32, planetlab, host4-plb.loria.fr
152.81.47.4/32, planetlab, host3-plb.loria.fr
# Maryland
128.8.126.78/32, planetlab, osiris.planetlab.cs.umd.edu
128.8.126.79/32, planetlab, whitefall.planetlab.cs.umd.edu
128.8.126.98/32, planetlab, miranda.planetlab.cs.umd.edu
128.8.126.111/32, planetlab, salt.planetlab.cs.umd.edu
# Berlin
# SUNY Albany
169.226.40.4/32, planetlab, node2.planetlab.albany.edu
169.226.40.2/32, planetlab, node1.planetlab.albany.edu
# University of Pittsburgh
130.49.221.40/32, planetlab, planetlab1.cs.pitt.edu
130.49.221.41/32, planetlab, planetlab2.cs.pitt.edu
# GMU
199.26.254.67/32, planetlab, plgmu3.ite.gmu.edu
199.26.254.66/32, planetlab, plgmu2.ite.gmu.edu
199.26.254.69/32, planetlab, plgmu1.ite.gmu.edu
199.26.254.68/32, planetlab, plgmu4.ite.gmu.edu
199.26.254.70/32, planetlab, plgmu5.ite.gmu.edu
# NECLabs
138.15.10.55/32, planetlab, plab1.nec-labs.com
138.15.10.56/32, planetlab, plab2.nec-labs.com
# Klagenfurt University
143.205.172.12/32, planetlab, plab2-itec.uni-klu.ac.at
143.205.172.11/32, planetlab, plab1-itec.uni-klu.ac.at
# HU Berlin - IWI
141.20.103.211/32, planetlab, planetlab2.wiwi.hu-berlin.de
141.20.103.210/32, planetlab, planetlab1.wiwi.hu-berlin.de
# Duke
152.3.138.1/32, planetlab, planetlab1.cs.duke.edu
152.3.138.3/32, planetlab, planetlab3.cs.duke.edu
152.3.138.5/32, planetlab, planetlab5.cs.duke.edu
152.3.138.6/32, planetlab, planetlab6.cs.duke.edu
152.3.138.7/32, planetlab, planetlab7.cs.duke.edu
152.3.138.4/32, planetlab, planetlab4.cs.duke.edu
152.3.138.2/32, planetlab, planetlab2.cs.duke.edu
# TUL
212.51.218.235/32, planetlab, ple1.dmcs.p.lodz.pl
212.51.218.237/32, planetlab, ple2.dmcs.p.lodz.pl
# National University of Defense Technology
202.197.15.1/32, planetlab, planetlab-1.pdl.nudt.edu.cn
202.197.15.3/32, planetlab, planetlab-2.pdl.nudt.edu.cn
# UPMC
132.227.62.20/32, planetlab, planetlab-wifi-01.ipv6.lip6.fr
132.227.62.25/32, planetlab, planetlab-europe-07.ipv6.lip6.fr
132.227.62.19/32, planetlab, planetlab-europe-02.ipv6.lip6.fr
# Cornell
128.84.154.44/32, planetlab, planetlab5.cs.cornell.edu
141.149.218.209/32, planetlab, planetlab4-dsl.cs.cornell.edu
128.84.154.49/32, planetlab, planetlab1.cs.cornell.edu
141.149.218.208/32, planetlab, planetlab3-dsl.cs.cornell.edu
128.84.154.45/32, planetlab, planetlab6.cs.cornell.edu
128.84.154.71/32, planetlab, planetlab2.cs.cornell.edu
# Rochester
